user_id,mean_period,date,skipped_period,std
16,75.0,2013-08-15 17:30:00,2,129.9038105676658
21,0.0,2013-01-31 22:45:00,no second purchase,
24,0.0,2013-03-24 06:00:00,no second purchase,
35,1.25,2013-01-14 14:00:00,311,1.8929694486000912
36,0.0,2013-08-06 14:30:00,no second purchase,
37,0.0,2013-06-23 23:45:00,no second purchase,
39,0.0,2013-04-18 12:00:00,no second purchase,
41,19.0,2013-02-14 22:30:00,18,26.870057685088806
42,27.2,2013-11-08 12:15:00,3,31.52001128031383
47,0.6666666666666666,2013-05-03 13:30:00,421,0.5773502691896258
53,0.0,2013-02-15 19:00:00,no second purchase,
55,63.0,2013-05-10 22:00:00,4,89.09545442950498
59,20.1,2013-07-28 06:45:00,9,14.925369900497163
66,0.0,2013-09-01 14:00:00,no second purchase,
70,63.4,2013-11-17 08:30:00,1,57.18216505170122
74,11.2,2013-07-04 16:30:00,19,13.12141107394432
75,0.0,2013-03-09 21:15:00,no second purchase,
80,0.0,2013-04-21 22:00:00,no second purchase,
81,59.0,2013-07-03 10:15:00,3,100.46392387319938
82,0.0,2013-01-22 07:30:00,no second purchase,
88,0.0,2013-06-19 06:00:00,no second purchase,
92,43.42857142857143,2013-11-07 13:45:00,2,48.11395204046723
93,0.0,2013-08-15 06:00:00,no second purchase,
95,24.25,2013-07-20 13:00:00,8,24.143667216615345
97,11.217391304347826,2013-09-28 05:30:00,11,14.02256791986381
99,10.076923076923077,2013-07-30 20:30:00,19,18.323307281808866
104,90.0,2013-10-10 08:00:00,1,108.16653826391968
109,0.0,2013-05-19 19:00:00,no second purchase,
112,0.0,2013-05-14 21:00:00,no second purchase,
113,0.0,2013-01-23 19:30:00,no second purchase,
115,7.6,2013-06-18 06:30:00,30,10.2942424962417
118,0.0,2013-03-24 18:00:00,no second purchase,
127,31.6,2013-07-06 10:15:00,6,51.27670036186026
152,0.0,2013-08-02 08:15:00,no second purchase,
166,0.0,2013-08-17 18:30:00,no second purchase,
172,0.0,2013-06-22 06:00:00,no second purchase,
183,0.8,2013-07-04 06:30:00,273,0.8366600265340756
193,0.0,2013-11-16 20:30:00,no second purchase,
227,0.3333333333333333,2013-03-11 06:30:00,1001,0.5773502691896258
268,98.0,2013-11-11 20:00:00,0,138.59292911256333
301,30.333333333333332,2013-04-08 20:45:00,10,41.78915329763614
306,34.714285714285715,2013-11-15 18:00:00,2,50.41730617461391
313,0.0,2013-05-02 05:45:00,no second purchase,
314,0.0,2013-01-11 11:00:00,no second purchase,
351,0.0,2013-05-10 09:45:00,no second purchase,
354,0.0,2013-04-02 18:30:00,no second purchase,
357,0.0,2013-04-27 16:45:00,no second purchase,
358,18.5,2013-08-23 08:00:00,9,21.501937897160182
364,0.0,2013-03-30 05:15:00,no second purchase,
376,50.0,2013-10-05 05:00:00,2,70.71067811865476
386,11.5,2013-05-11 03:15:00,23,14.798648586948742
395,0.0,2013-08-20 03:45:00,no second purchase,
403,24.0,2013-03-17 03:15:00,13,31.74901573277509
404,48.0,2013-05-09 18:15:00,5,67.88225099390856
405,6.666666666666667,2013-08-17 06:15:00,26,9.073771725877465
411,0.0,2013-08-19 07:00:00,no second purchase,
414,37.75,2013-08-09 06:30:00,4,48.66466890876789
441,0.0,2013-01-27 17:00:00,no second purchase,
444,0.0,2013-11-01 11:45:00,no second purchase,
445,4.5,2013-05-30 09:15:00,56,6.363961030678928
451,0.0,2013-01-29 12:45:00,no second purchase,
494,28.5,2013-04-24 14:30:00,10,40.30508652763321
503,61.0,2013-10-26 14:30:00,1,67.89207121110191
513,33.8,2013-09-18 19:15:00,4,31.051570008616313
519,29.166666666666668,2013-11-17 08:00:00,2,39.31115193767115
525,15.0,2013-07-04 09:00:00,14,18.65475810617763
547,0.0,2013-05-31 20:45:00,no second purchase,
554,0.0,2013-05-11 17:45:00,no second purchase,
563,0.0,2013-04-21 05:15:00,no second purchase,0.0
565,30.428571428571427,2013-09-02 06:45:00,5,33.999299712676155
